employee_seniority_years,is_contractor,employee_classification,has_foreign_citizenship,has_criminal_record,has_medical_history,total_printed_pages,num_printed_pages_off_hours,total_files_burned,burned_from_other,is_abroad,trip_day_number,hostility_country_level,num_entries,num_unique_campus,late_exit_flag,entry_during_weekend,Actual,Predicted,Risk_Level
13,0,2,0,0,0,0,0,93,0,0,0.0,0,1,1,0,1,1,1,High
13,0,1,0,0,0,89,0,6,0,0,0.0,0,2,3,0,0,1,1,High
9,0,2,0,0,0,3,0,0,0,0,0.0,0,2,1,0,1,1,1,High
19,0,1,0,0,0,99,40,49,1,0,0.0,0,0,0,0,0,1,1,High
1,1,2,1,0,0,0,0,0,0,1,5.0,3,0,0,0,0,1,1,High
11,0,3,0,0,1,25,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
15,0,2,0,1,0,0,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
26,0,2,0,0,0,0,0,80,1,0,0.0,0,3,1,0,0,1,1,High
6,0,2,1,0,0,0,0,26,0,0,0.0,0,1,1,0,0,0,0,Low
14,0,2,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,0,Medium
16,0,3,1,1,0,31,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
21,0,2,0,0,0,31,0,19,0,0,0.0,0,0,0,0,0,0,0,Low
31,0,3,1,0,0,0,0,86,0,0,0.0,0,0,0,0,0,1,1,High
15,0,2,1,0,1,0,0,0,0,0,0.0,0,2,2,0,1,1,1,High
9,0,2,0,0,1,27,0,0,0,0,0.0,0,1,1,0,0,1,1,High
10,0,2,0,0,0,11,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
1,1,2,1,0,0,0,0,0,0,0,0.0,0,1,1,0,1,1,1,High
22,0,3,0,0,0,53,25,0,0,0,0.0,0,2,1,0,0,1,1,High
15,0,2,1,0,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
1,0,2,0,0,0,0,0,5,0,0,0.0,0,1,1,0,0,1,1,Medium
19,0,1,1,0,0,33,5,0,0,0,0.0,0,1,1,0,0,0,0,Low
9,0,3,0,0,0,27,7,0,0,0,0.0,0,1,1,0,0,0,0,Low
6,0,2,0,1,0,0,0,29,0,0,0.0,0,0,0,0,0,0,0,Low
11,0,2,0,0,0,50,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
4,1,2,0,0,0,38,0,0,0,0,0.0,0,0,0,0,0,1,1,High
15,0,2,0,0,0,0,0,107,1,0,0.0,0,1,1,0,1,1,1,High
7,0,3,1,0,0,0,0,70,1,0,0.0,0,0,0,0,0,1,1,High
14,0,2,0,0,0,0,0,107,0,0,0.0,0,2,1,0,0,1,1,High
25,0,2,0,0,0,0,0,86,0,0,0.0,0,1,1,0,0,1,1,High
4,0,2,0,0,0,7,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
14,0,3,1,0,1,0,0,79,0,0,0.0,0,1,1,0,1,1,1,High
15,0,3,0,0,0,8,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
2,0,3,0,0,0,0,0,0,0,1,9.0,0,0,0,0,0,1,1,High
9,0,2,0,0,0,24,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
23,0,1,0,0,1,125,0,0,0,0,0.0,0,0,0,0,0,1,1,High
20,0,2,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
3,0,3,1,0,0,6,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
8,0,2,0,0,0,24,4,0,0,0,0.0,0,0,0,0,0,0,0,Low
18,0,1,0,0,0,16,0,0,0,0,0.0,0,1,3,0,0,1,1,High
12,1,2,0,0,0,10,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
15,0,2,1,0,1,0,0,108,0,0,0.0,0,0,0,0,0,1,1,High
19,0,2,0,0,0,2,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
1,0,2,0,0,0,0,0,82,0,0,0.0,0,2,1,0,1,1,1,High
7,1,2,0,0,0,15,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
4,0,3,0,0,0,13,8,71,0,0,0.0,0,0,0,0,0,1,1,High
26,0,2,0,0,0,87,0,0,0,0,0.0,0,3,1,0,0,1,1,High
25,0,3,0,0,1,4,0,34,0,0,0.0,0,0,0,0,0,0,0,Low
15,0,3,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,1,High
6,0,1,0,0,0,19,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
11,1,1,0,0,1,0,0,35,0,0,0.0,0,1,1,0,0,0,0,Low
24,0,1,0,0,1,199,0,0,0,0,0.0,0,1,1,0,0,1,1,High
4,0,1,0,0,0,0,0,80,0,0,0.0,0,0,0,0,0,1,1,High
0,0,1,0,0,0,9,1,0,0,0,0.0,0,1,1,0,0,0,0,Low
0,0,2,0,0,1,8,0,3,0,0,0.0,0,1,1,0,0,0,0,Low
15,0,3,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,1,1,High
14,0,3,1,0,1,0,0,49,0,0,0.0,0,2,1,0,0,1,1,High
1,0,2,0,0,1,61,0,0,0,0,0.0,0,0,0,0,0,0,0,Medium
12,0,2,0,0,0,4,0,2,0,0,0.0,0,0,0,0,0,0,0,Low
7,1,2,0,0,0,28,0,0,0,0,0.0,0,1,1,0,1,1,1,High
23,1,2,0,0,0,1,0,29,0,0,0.0,0,2,1,0,0,1,1,High
6,0,2,0,0,0,0,0,163,0,0,0.0,0,1,1,0,1,1,1,High
23,0,1,0,0,1,103,0,0,0,0,0.0,0,1,1,0,1,1,1,High
21,0,2,1,0,0,11,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
17,0,1,1,0,0,27,0,0,0,0,0.0,0,1,1,0,0,0,1,High
7,0,3,1,0,0,21,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
18,0,1,0,0,1,10,0,2,0,0,0.0,0,1,1,0,0,0,0,Low
0,0,2,0,0,0,8,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
13,0,3,0,0,0,0,0,0,0,0,0.0,0,3,1,0,0,0,1,High
4,0,2,0,0,0,4,0,27,0,0,0.0,0,1,1,0,0,0,0,Low
2,0,1,0,0,0,7,1,0,0,0,0.0,0,2,1,0,0,0,0,Low
14,0,2,0,0,0,0,0,135,1,0,0.0,0,0,0,0,0,1,1,High
21,0,2,1,0,0,0,0,10,0,0,0.0,0,2,1,0,0,1,1,High
3,0,2,0,0,0,0,0,0,0,1,10.0,0,0,0,0,0,0,0,Low
25,0,2,0,0,0,0,0,0,0,0,0.0,0,1,2,0,0,1,1,High
26,0,2,0,0,0,0,0,87,0,0,0.0,0,1,1,0,1,1,1,High
24,0,1,0,0,0,95,32,42,0,0,0.0,0,1,1,0,1,1,1,High
18,0,1,0,0,0,3,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
15,0,3,0,0,1,10,0,47,0,0,0.0,0,2,1,0,0,0,0,Medium
24,0,1,0,0,0,49,32,0,0,0,0.0,0,1,1,0,0,1,1,High
3,0,2,0,0,0,35,0,0,0,0,0.0,0,0,0,0,0,1,1,High
12,0,3,0,0,0,0,0,0,0,1,10.0,0,0,0,0,0,0,0,Low
16,0,2,1,0,0,26,11,0,0,0,0.0,0,0,0,0,0,1,1,High
11,0,2,0,0,0,5,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
17,0,2,0,0,0,0,0,57,0,0,0.0,0,0,0,0,0,1,1,High
11,1,1,0,1,0,6,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
8,0,3,0,0,0,12,4,0,0,0,0.0,0,0,0,0,0,0,0,Low
10,0,1,0,0,0,30,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
18,0,2,0,0,0,7,0,9,0,0,0.0,0,2,1,0,0,0,0,Low
6,0,3,0,1,0,1,0,6,0,0,0.0,0,2,1,0,0,0,0,Low
21,0,1,0,0,0,12,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
13,0,3,0,0,0,4,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
8,0,1,0,0,0,43,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
2,0,3,0,0,0,0,0,0,0,0,0.0,0,3,1,0,0,1,1,High
14,0,2,0,0,0,301,0,0,0,0,0.0,0,1,1,0,1,0,1,High
2,0,3,0,0,0,0,0,82,1,0,0.0,0,1,1,0,0,1,1,High
17,0,2,0,0,0,0,0,0,0,0,0.0,0,1,2,0,0,1,1,High
9,0,1,0,0,0,87,0,56,0,0,0.0,0,1,1,0,0,0,0,Medium
14,1,3,0,0,0,0,0,27,0,0,0.0,0,1,1,0,0,0,0,Low
18,0,2,0,0,0,17,0,0,0,0,0.0,0,1,1,0,0,1,1,High
17,0,1,0,0,0,8,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
9,0,3,0,0,0,1,0,12,0,0,0.0,0,1,1,0,0,0,0,Low
19,0,2,1,0,1,0,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
19,0,2,0,0,0,5,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
0,0,2,0,0,0,0,0,0,0,0,0.0,0,2,1,0,0,1,1,Medium
8,0,2,0,0,0,3,1,0,0,0,0.0,0,1,1,0,0,0,0,Low
12,0,2,0,0,0,15,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
10,0,2,0,0,0,0,0,91,0,0,0.0,0,3,1,0,0,1,1,High
4,1,1,0,0,0,17,6,0,0,0,0.0,0,1,1,0,0,0,0,Low
18,0,1,0,0,0,2,0,38,0,0,0.0,0,0,0,0,0,0,0,Low
26,0,2,0,0,1,0,0,83,1,0,0.0,0,0,0,0,0,1,1,High
26,0,2,0,0,1,26,8,0,0,0,0.0,0,3,3,0,0,1,1,High
8,1,2,0,0,0,0,0,20,0,0,0.0,0,1,1,0,0,1,1,High
9,1,3,0,0,1,17,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
13,0,1,0,0,0,72,43,0,0,0,0.0,0,0,0,0,0,1,1,High
15,0,3,0,0,0,0,0,99,0,0,0.0,0,0,0,0,0,1,1,High
2,0,3,0,0,0,1,0,0,0,0,0.0,0,1,1,0,1,0,0,Low
24,0,2,0,0,0,0,0,87,1,0,0.0,0,1,1,0,0,1,1,High
3,0,2,0,0,0,167,0,0,0,0,0.0,0,1,1,0,0,1,1,High
17,0,2,0,0,0,35,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
26,0,2,0,0,0,0,0,47,0,0,0.0,0,0,0,0,0,0,1,High
8,0,2,0,0,0,1,0,44,0,0,0.0,0,1,1,0,0,0,0,Low
9,0,2,0,0,1,27,0,0,0,0,0.0,0,1,1,0,0,1,1,High
17,0,1,0,0,0,5,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
4,0,3,0,0,0,15,6,0,0,0,0.0,0,0,0,0,0,1,1,High
8,0,3,0,0,0,0,0,65,0,0,0.0,0,0,0,0,0,1,1,High
23,0,2,1,0,1,0,0,61,0,0,0.0,0,2,1,0,0,1,1,High
21,0,2,1,0,0,0,0,3,0,0,0.0,0,0,0,0,0,1,1,High
19,0,1,0,0,0,148,58,0,0,0,0.0,0,1,1,0,0,1,1,High
14,0,2,0,0,1,11,7,106,0,0,0.0,0,1,1,0,0,1,1,High
16,0,2,0,0,0,0,0,103,0,0,0.0,0,1,1,0,0,1,1,High
0,0,2,0,0,0,6,2,0,0,0,0.0,0,2,1,0,1,0,0,Low
21,0,4,0,0,0,14,0,0,0,0,0.0,0,1,1,0,0,1,1,High
5,1,2,0,0,0,19,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
9,0,2,1,0,1,4,1,0,0,0,0.0,0,1,1,0,0,0,0,Low
9,0,2,0,0,0,0,0,88,0,0,0.0,0,1,1,0,0,1,1,High
16,0,1,0,0,0,31,7,0,0,0,0.0,0,0,0,0,0,0,0,Low
6,0,1,1,0,0,11,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
10,0,1,1,0,0,13,0,22,0,0,0.0,0,0,0,0,0,0,0,Low
6,0,2,0,0,0,1,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
16,0,2,0,0,0,10,0,63,1,0,0.0,0,0,0,0,0,1,1,High
0,0,2,0,0,0,0,0,113,0,0,0.0,0,1,1,0,0,1,1,High
25,0,2,0,0,0,8,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
15,0,3,0,0,0,0,0,0,0,0,0.0,0,2,1,0,0,1,1,High
1,1,2,1,0,0,0,0,114,0,0,0.0,0,1,1,0,0,1,1,High
8,1,2,0,0,0,121,0,0,0,0,0.0,0,1,1,0,0,1,1,High
24,0,1,0,0,0,6,1,0,0,0,0.0,0,0,0,0,0,0,0,Low
21,0,1,0,0,0,0,0,36,0,0,0.0,0,0,0,0,0,0,0,Low
14,0,2,0,0,1,5,0,121,0,0,0.0,0,2,3,0,0,1,1,High
14,0,2,0,0,0,0,0,94,0,0,0.0,0,1,1,0,0,1,1,High
23,0,1,0,0,1,0,0,28,0,0,0.0,0,1,1,0,1,1,1,High
13,0,1,0,0,0,25,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
3,0,2,0,0,1,0,0,76,0,0,0.0,0,2,1,0,0,1,1,High
6,0,2,0,0,0,170,80,114,0,0,0.0,0,3,1,0,0,1,1,High
15,0,2,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,1,High
26,0,2,0,0,0,0,0,0,0,0,0.0,0,2,1,0,0,1,1,High
5,0,2,0,1,0,6,2,0,0,0,0.0,0,0,0,0,0,1,1,High
18,1,1,1,0,0,382,0,17,0,0,0.0,0,1,1,0,0,1,1,High
13,0,3,0,0,0,0,0,82,0,0,0.0,0,1,1,0,0,1,1,High
9,0,2,0,0,1,0,0,36,0,0,0.0,0,0,0,0,0,0,0,Low
14,0,1,0,0,1,27,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
24,0,1,0,0,0,21,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
18,0,1,1,0,0,9,1,0,0,0,0.0,0,0,0,0,0,0,0,Low
1,0,3,0,0,0,40,13,0,0,0,0.0,0,1,3,0,0,1,1,High
15,0,2,0,0,0,0,0,91,0,0,0.0,0,0,0,0,0,1,1,High
4,0,4,0,0,0,112,64,0,0,0,0.0,0,2,1,0,0,1,1,High
6,0,1,0,0,0,0,0,8,0,0,0.0,0,2,1,0,0,0,0,Low
13,1,3,0,0,0,0,0,39,0,0,0.0,0,1,1,0,0,0,0,Low
21,0,2,1,0,0,19,7,10,0,0,0.0,0,2,1,0,0,1,1,High
6,0,2,0,0,0,0,0,157,0,0,0.0,0,2,1,0,0,1,1,High
9,0,2,0,0,0,0,0,62,0,0,0.0,0,1,3,0,0,1,1,High
2,0,2,1,0,0,36,0,0,0,0,0.0,0,2,3,0,0,1,1,High
17,0,2,0,0,0,0,0,0,0,0,0.0,0,1,3,0,0,1,1,High
24,0,1,0,0,0,234,0,0,0,0,0.0,0,0,0,0,0,1,1,High
25,0,2,0,0,0,0,0,0,0,1,4.0,0,0,0,0,0,1,1,High
25,0,1,0,0,0,0,0,93,0,0,0.0,0,1,1,0,1,1,1,High
16,1,3,0,0,0,22,4,0,0,0,0.0,0,1,1,0,0,0,0,Low
18,0,3,0,0,0,0,0,32,0,0,0.0,0,1,1,0,0,0,0,Low
6,0,1,0,0,0,39,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
20,0,3,1,0,0,0,0,39,0,0,0.0,0,0,0,0,0,0,0,Low
15,0,2,0,0,0,0,0,63,0,0,0.0,0,2,2,0,0,1,1,High
17,1,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
1,1,2,1,0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,1,High
8,0,1,0,0,1,5,0,9,0,0,0.0,0,0,0,0,0,0,0,Low
1,0,3,0,0,0,0,0,91,0,0,0.0,0,0,0,0,0,1,1,High
5,0,2,0,0,0,4,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
6,0,3,0,0,1,5,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
1,1,2,1,0,0,0,0,0,0,0,0.0,0,3,1,0,0,1,1,High
24,1,2,1,0,0,0,0,6,0,0,0.0,0,1,1,0,0,0,0,Low
19,0,2,0,0,0,12,0,10,0,0,0.0,0,1,1,0,0,0,0,Low
18,0,1,0,0,0,10,0,0,0,0,0.0,0,2,1,0,0,1,1,Medium
8,0,2,0,0,0,62,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
15,0,3,0,0,0,0,0,66,0,0,0.0,0,1,1,0,0,1,1,High
26,0,2,0,0,1,0,0,50,0,0,0.0,0,0,0,0,0,1,1,High
19,0,1,0,0,0,322,0,8,0,0,0.0,0,1,1,0,0,1,1,High
11,0,1,1,0,0,0,0,14,0,0,0.0,0,0,0,0,0,0,0,Low
11,0,2,1,1,1,34,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
16,0,2,1,0,0,33,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
15,0,2,0,0,0,33,14,0,0,0,0.0,0,1,1,0,0,0,0,Medium
21,0,4,0,0,0,0,0,3,0,0,0.0,0,0,0,0,0,1,1,High
17,0,2,0,0,0,0,0,0,0,1,5.0,3,0,0,0,0,1,1,High
9,0,2,0,0,1,0,0,3,0,0,0.0,0,1,1,0,0,1,1,High
11,0,1,1,0,0,42,0,2,0,0,0.0,0,1,1,0,0,0,0,Low
21,1,2,0,0,0,79,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
4,0,1,0,0,0,27,0,0,0,0,0.0,0,2,1,0,0,1,1,High
15,0,3,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,1,1,High
11,0,3,1,0,0,0,0,7,0,0,0.0,0,0,0,0,0,0,0,Low
15,0,2,1,0,0,5,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
14,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
10,0,2,0,0,0,1,0,75,0,0,0.0,0,2,1,0,0,1,1,High
25,0,1,0,0,0,0,0,110,1,0,0.0,0,0,0,0,0,1,1,High
5,1,1,0,0,0,29,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
6,0,1,0,0,0,4,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
13,0,3,0,0,0,0,0,0,0,0,0.0,0,1,2,0,0,1,1,High
8,1,1,0,0,0,0,0,61,0,0,0.0,0,0,0,0,0,0,0,Low
16,0,1,0,0,0,0,0,48,0,0,0.0,0,1,1,0,0,0,0,Low
3,0,2,0,0,1,0,0,72,1,0,0.0,0,1,1,0,0,1,1,High
13,0,3,0,0,0,0,0,60,0,0,0.0,0,2,1,0,1,1,1,High
13,0,1,0,0,0,285,0,0,0,0,0.0,0,0,0,0,0,1,1,High
4,0,1,0,1,0,6,0,6,0,0,0.0,0,0,0,0,0,0,0,Low
2,0,1,0,0,0,69,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
10,0,2,0,0,0,0,0,9,0,0,0.0,0,0,0,0,0,1,1,High
16,0,3,0,0,1,0,0,127,0,0,0.0,0,0,0,0,0,1,1,High
6,0,2,0,0,0,0,0,140,0,0,0.0,0,0,0,0,0,1,1,High
13,0,2,0,0,0,47,15,0,0,0,0.0,0,1,1,0,0,0,0,Low
19,0,1,0,0,0,73,47,0,0,0,0.0,0,1,1,0,0,1,1,High
7,0,3,0,0,0,0,0,3,0,0,0.0,0,2,1,0,0,0,0,Low
18,0,2,0,0,1,2,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
16,0,3,0,0,0,8,1,4,0,0,0.0,0,1,1,0,0,0,0,Low
23,0,1,0,0,0,1,0,120,0,0,0.0,0,1,2,0,1,1,1,High
24,0,2,0,0,0,13,7,67,1,0,0.0,0,0,0,0,0,1,1,High
14,0,3,1,0,1,0,0,91,1,0,0.0,0,2,1,0,0,1,1,High
18,0,2,0,0,0,79,26,100,0,0,0.0,0,0,0,0,0,1,1,High
9,0,1,0,0,0,32,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
4,0,4,0,0,0,137,0,20,1,0,0.0,0,1,3,0,0,1,1,High
19,0,1,1,0,0,16,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
23,0,2,1,0,1,0,0,0,0,1,14.0,3,0,0,0,0,1,1,High
3,0,2,1,0,0,11,0,0,0,0,0.0,0,0,0,0,0,1,1,High
4,0,2,0,0,0,106,24,0,0,0,0.0,0,1,1,0,0,0,0,Low
24,0,2,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,1,High
25,1,1,0,0,0,60,6,0,0,0,0.0,0,0,0,0,0,0,0,Low
14,0,3,0,0,0,0,0,7,0,0,0.0,0,1,1,0,0,0,0,Low
5,0,3,0,0,0,0,0,43,0,0,0.0,0,1,1,0,0,0,0,Low
21,0,2,0,0,1,0,0,0,0,1,3.0,0,0,0,0,0,0,0,Low
4,1,1,0,0,0,41,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
6,0,1,0,0,0,8,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
31,0,3,0,0,1,0,0,43,0,0,0.0,0,1,1,0,0,1,1,High
9,0,2,0,1,0,36,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
15,0,2,0,0,0,14,5,97,0,0,0.0,0,2,3,0,1,1,1,High
15,0,3,0,0,0,5,3,79,0,0,0.0,0,1,1,0,0,1,1,High
16,0,1,0,0,0,51,20,0,0,0,0.0,0,1,2,0,0,1,1,High
13,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
9,1,3,0,0,0,0,0,82,0,0,0.0,0,1,1,0,1,1,1,High
20,0,3,1,0,0,23,0,0,0,0,0.0,0,2,3,0,0,1,1,High
4,0,1,0,0,0,0,0,138,0,0,0.0,0,0,0,0,0,1,1,High
16,0,1,0,0,0,24,0,0,0,0,0.0,0,1,1,0,0,0,1,Medium
17,0,4,1,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
17,0,2,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
4,0,4,0,0,0,133,0,17,0,0,0.0,0,0,0,0,0,1,1,High
4,0,3,0,0,0,23,7,55,0,0,0.0,0,1,1,0,1,1,1,High
13,0,3,0,0,0,0,0,68,0,0,0.0,0,1,3,0,1,1,1,High
16,1,2,0,0,0,32,0,0,0,0,0.0,0,1,1,0,1,0,0,Low
7,0,3,1,0,0,16,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
27,1,2,0,0,0,74,0,2,0,0,0.0,0,1,1,0,0,1,1,High
20,0,3,1,0,0,265,0,8,0,0,0.0,0,0,0,0,0,1,1,High
4,0,3,0,0,0,0,0,0,0,0,0.0,0,2,1,0,0,1,1,Medium
2,0,3,0,0,0,0,0,0,0,0,0.0,0,1,3,0,0,1,1,High
15,0,2,0,0,0,0,0,0,0,0,0.0,0,1,3,0,0,0,1,High
23,0,2,1,0,1,0,0,61,0,0,0.0,0,2,1,0,0,1,1,High
31,0,3,1,0,0,0,0,0,0,1,9.0,1,0,0,0,0,1,1,High
13,0,2,0,0,0,26,0,0,0,0,0.0,0,1,1,0,0,1,1,High
0,0,3,0,0,0,2,0,50,0,0,0.0,0,0,0,0,0,0,0,Low
1,0,1,1,0,0,0,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
6,1,1,0,0,0,20,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
16,0,1,0,0,0,213,113,0,0,0,0.0,0,1,1,0,0,1,1,High
27,1,2,0,0,0,0,0,5,0,0,0.0,0,1,1,0,0,1,1,High
17,0,2,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,1,High
13,0,3,0,0,0,0,0,99,0,0,0.0,0,1,1,0,0,1,1,High
15,0,2,0,0,0,0,0,72,0,0,0.0,0,0,0,0,0,1,1,High
0,0,2,0,0,0,0,0,98,0,0,0.0,0,3,3,0,1,1,1,High
13,0,3,0,0,0,32,0,107,0,0,0.0,0,2,1,0,0,0,1,High
19,0,1,0,0,0,121,0,0,0,0,0.0,0,1,1,0,1,1,1,High
19,0,2,0,0,1,0,0,64,1,0,0.0,0,1,3,0,0,1,1,High
14,0,2,0,0,0,0,0,30,0,0,0.0,0,1,1,0,0,0,0,Low
15,0,2,0,0,0,0,0,62,1,0,0.0,0,1,1,0,1,1,1,High
11,0,1,0,1,0,3,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
18,0,1,1,0,0,23,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
10,0,1,0,0,0,11,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
14,0,3,1,0,1,0,0,87,0,0,0.0,0,2,1,0,0,1,1,High
13,0,1,0,0,0,89,0,6,0,0,0.0,0,2,3,0,0,1,1,High
10,0,1,0,0,0,10,1,0,0,0,0.0,0,1,1,0,0,0,0,Low
8,0,3,0,0,0,22,11,70,0,0,0.0,0,1,1,0,0,1,1,High
5,0,1,0,0,0,19,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
10,0,1,0,0,0,1,0,9,0,0,0.0,0,1,1,0,0,0,0,Low
31,0,3,1,0,0,0,0,116,0,0,0.0,0,1,1,0,0,1,1,High
9,0,3,0,0,1,0,0,26,0,0,0.0,0,0,0,0,0,0,0,Low
6,0,2,0,0,0,0,0,124,0,0,0.0,0,0,0,0,0,1,1,High
11,0,2,0,0,0,0,0,32,0,0,0.0,0,0,0,0,0,0,0,Low
1,0,2,0,0,0,0,0,75,0,0,0.0,0,1,1,0,0,1,1,High
9,1,3,0,0,0,0,0,0,0,1,4.0,0,0,0,0,0,1,1,High
16,0,2,0,0,0,0,0,71,1,0,0.0,0,0,0,0,0,1,1,High
16,0,2,1,0,0,62,32,0,0,0,0.0,0,1,1,0,0,1,1,High
15,0,2,0,0,0,0,0,73,0,0,0.0,0,2,1,0,0,1,1,High
5,0,2,1,0,0,18,6,0,0,0,0.0,0,2,1,0,0,0,0,Low
17,0,2,0,0,0,32,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
1,0,2,0,0,0,1,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
4,0,2,0,0,0,9,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
19,0,1,0,0,0,158,95,0,0,0,0.0,0,2,1,0,0,1,1,High
27,1,2,0,0,0,0,0,87,1,0,0.0,0,1,1,0,0,1,1,High
16,0,2,0,0,0,8,0,0,0,0,0.0,0,1,1,0,0,1,1,Medium
19,0,1,0,0,0,134,0,0,0,0,0.0,0,1,1,0,0,1,1,High
9,0,2,0,0,0,6,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
4,0,4,0,0,0,148,0,0,0,0,0.0,0,0,0,0,0,1,1,High
14,0,2,0,0,0,28,0,126,0,0,0.0,0,2,1,0,0,1,1,High
21,0,2,1,0,0,0,0,56,0,0,0.0,0,1,3,0,1,1,1,High
13,0,3,0,0,0,0,0,63,0,0,0.0,0,1,1,0,1,1,1,High
16,0,1,0,0,0,5,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
10,0,1,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
11,0,1,0,0,0,18,7,0,0,0,0.0,0,1,1,0,0,0,1,Medium
11,0,2,1,0,0,0,0,53,0,0,0.0,0,0,0,0,0,0,0,Low
16,1,1,0,0,0,160,0,0,0,0,0.0,0,2,1,0,0,1,1,High
26,0,2,0,0,0,0,0,74,0,0,0.0,0,1,3,0,0,1,1,High
23,0,2,1,0,1,15,0,79,0,0,0.0,0,1,1,0,0,1,1,High
4,0,1,0,0,0,92,47,85,0,0,0.0,0,2,1,0,0,1,1,High
9,0,3,0,0,1,0,0,27,0,0,0.0,0,0,0,0,0,0,0,Low
20,0,3,1,0,0,56,0,0,0,0,0.0,0,0,0,0,0,1,1,High
